"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5"
"a",0.000115411415170262,0.000138900724467497,0.000165024040926246,0.000255836798680727,1.95601885120148e-06,6.19855015666709e-06
"aa",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"aaa",0.000173391843141003,0.000133087020659125,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,9.9982211084283e-05
"aaron",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"aarp",0.000100785502867268,0.000123053790603423,0.00012048292589368,0.000130050689922566,4.66394414344485e-05,9.9982211084283e-05
"abandoned",0.000100785502867268,0.000123053790603423,0.000131475230755398,0.000130050689922566,0.000352481632768467,9.9982211084283e-05
"abbas",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abbott",2.72323769128835e-05,6.49321373340513e-05,0.000112073999101722,0.000131102793370531,1.66618207405077e-05,0.000450259896948516
"abc",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"abele",0.000151194570053644,0.000450422516123511,3.73080723616849e-05,0.000187532198306708,6.9966354096806e-05,0.000149989490577061
"abide",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"abiding",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,0.000462009387415317,2.33173240594896e-05,4.99857157793011e-05
"abilities",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"ability",0.000302487091150113,0.000399663260972177,8.61949599028517e-06,8.73425484789151e-05,0.000139975883550662,0.000300076080851232
"abject",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"able",1.02577363069982e-05,7.08298946644804e-07,0.000371638391076305,0.00104406269437442,8.82478883110715e-06,0.000801067611931932
"abolish",7.029919641729e-06,0.000159185888752388,1.72306863623273e-07,0.000312622651168841,0.000116634573179723,7.50593842842898e-06
"abolished",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abolishing",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"abolition",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,0.000462009387415317,2.33173240594896e-05,4.99857157793011e-05
"abort",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"aborted",7.029919641729e-06,1.39565217516821e-07,1.72306863623273e-07,0.000312622651168841,0.000104873242961417,7.50593842842898e-06
"abortion",0.00025928937919065,0.00015962107852167,0.000400192063538786,0.000181459738025766,4.33633899060146e-05,6.28449046271696e-05
"abortioneven",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,0.000462009387415317,2.33173240594896e-05,4.99857157793011e-05
"abortions",0.00011450989404178,0.000400645176947974,0.00010356101901239,0.00100160899721277,8.82478883110715e-06,1.12861524413286e-05
"about",0.00090430126894172,0.000313189120732611,4.79577213599537e-06,1.73557999308777e-05,5.62096375869545e-06,1.44315741186951e-05
"above",0.000121573157681341,0.000127916758257069,0.000484873249317171,0.000688225687668974,0.000256754522820604,4.81338649624774e-06
"abraham",0.000100785502867268,0.000123053790603423,0.00012048292589368,0.00012500767418593,4.66394414344485e-05,0.000175073225052359
"abrahamlincoln",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abramoff",0.000100785502867268,0.000123053790603423,0.000131475230755398,0.000130050689922566,0.000352481632768467,9.9982211084283e-05
"absent",0.000173391843141003,0.000123053790603423,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,0.000175073225052359
"absentee",0.000151194570053644,0.000184601013380475,3.73080723616849e-05,0.000443368984978996,6.9966354096806e-05,0.000149989490577061
"absolute",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"absolutely",0.00025204535948069,1.39565217516821e-07,0.000328797539591067,0.000154086720554264,0.000560172039535198,0.000250036420790793
"absorb",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"absorbed",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"abstinence",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"absurd",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abu",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"abuse",2.85509471806961e-05,0.000820182384040709,0.000263008832939562,0.000250070521928638,9.32980640204491e-05,0.000200007558923187
"abused",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
